?s	?nap_id	?class	?napralert_code	?name	?eq	?comment	?partof	?subclasses
<https://www.napralert.org/data/animal/238>	238	<http://www.w3.org/2002/07/owl#Class>	MA	MARE				NCBITaxon_1114792|PATO_0000383|UBERON_0007023
<https://www.napralert.org/data/animal/58>	58	<http://www.w3.org/2002/07/owl#Class>	SS	SALMO SALAR				NCBITaxon_8030
<https://www.napralert.org/data/animal/215>	215	<http://www.w3.org/2002/07/owl#Class>	KA	KANGAROO				NCBITaxon_9312
<https://www.napralert.org/data/animal/211>	211	<http://www.w3.org/2002/07/owl#Class>	IN	INSECT				NCBITaxon_50557
<https://www.napralert.org/data/animal/35>	35	<http://www.w3.org/2002/07/owl#Class>	RF	RAT FETUS				NCBITaxon_10114
<https://www.napralert.org/data/animal/222>	222	<http://www.w3.org/2002/07/owl#Class>	LD	MOSQUITO				NCBITaxon_7157
<https://www.napralert.org/data/animal/244>	244	<http://www.w3.org/2002/07/owl#Class>	MG	MACACA RADIATA				NCBITaxon_9548
<https://www.napralert.org/data/animal/261>	261	<http://www.w3.org/2002/07/owl#Class>	MZ	MUSSEL(FRESHWATER)				NCBITaxon_47520
<https://www.napralert.org/data/animal/219>	219	<http://www.w3.org/2002/07/owl#Class>	LA	LEPUS AMERICANUS				NCBITaxon_48086
<https://www.napralert.org/data/animal/39>	39	<http://www.w3.org/2002/07/owl#Class>	RL	RAT WBC				NCBITaxon_10114
<https://www.napralert.org/data/animal/250>	250	<http://www.w3.org/2002/07/owl#Class>	MN	MARMOSET				NCBITaxon_9481
<https://www.napralert.org/data/animal/240>	240	<http://www.w3.org/2002/07/owl#Class>	MC	MOUSE(CASTRATE)				PATO_0002367|NCBITaxon_10088
<https://www.napralert.org/data/animal/73>	73	<http://www.w3.org/2002/07/owl#Class>	WC	WOODCHUCK				NCBITaxon_9995
<https://www.napralert.org/data/animal/258>	258	<http://www.w3.org/2002/07/owl#Class>	MW	MOLE				NCBITaxon_9373
<https://www.napralert.org/data/animal/164>	164	<http://www.w3.org/2002/07/owl#Class>	EE	EGG(EMBRYONATED CHICKEN)				UBERON_0007379
<https://www.napralert.org/data/animal/96>	96	<http://www.w3.org/2002/07/owl#Class>	AK	ACIPENSER BAERI				NCBITaxon_27689
<https://www.napralert.org/data/animal/90>	90	<http://www.w3.org/2002/07/owl#Class>	AD	ARBACIA PUNCTULATA				NCBITaxon_7641
<https://www.napralert.org/data/animal/253>	253	<http://www.w3.org/2002/07/owl#Class>	MQ	MUSCA DOMESTICA				NCBITaxon_7370
<https://www.napralert.org/data/animal/142>	142	<http://www.w3.org/2002/07/owl#Class>	CQ	QUAIL(CALIFORNIA)				NCBITaxon_67771
<https://www.napralert.org/data/animal/242>	242	<http://www.w3.org/2002/07/owl#Class>	ME	MONKEY(OVARIECTOMIZED)				NCBITaxon_314293
<https://www.napralert.org/data/animal/151>	151	<http://www.w3.org/2002/07/owl#Class>	DC	DOG(CASTRATED)				NCBITaxon_9615|PATO_0002367
